Genero,Meses,M3SD,M2SD,M1SD,Median,1DS,2SD,3SD
F,104,12,13,14.3,15.9,18.1,21.2,25.9
F,105,12,13.1,14.3,16,18.2,21.3,26.1
F,106,12.1,13.1,14.4,16,18.2,21.3,26.2
F,107,12.1,13.1,14.4,16.1,18.3,21.4,26.4
F,108,12.1,13.1,14.4,16.1,18.3,21.5,26.5
F,109,12.1,13.2,14.5,16.1,18.4,21.6,26.7
F,110,12.1,13.2,14.5,16.2,18.4,21.7,26.8
F,111,12.2,13.2,14.5,16.2,18.5,21.8,27
F,112,12.2,13.2,14.6,16.3,18.6,21.9,27.2
F,113,12.2,13.3,14.6,16.3,18.6,21.9,27.3
F,114,12.2,13.3,14.6,16.3,18.7,22,27.5
F,115,12.3,13.3,14.7,16.4,18.7,22.1,27.6
F,116,12.3,13.4,14.7,16.4,18.8,22.2,27.8
F,117,12.3,13.4,14.7,16.5,18.8,22.3,27.9
F,118,12.3,13.4,14.8,16.5,18.9,22.4,28.1
F,119,12.4,13.4,14.8,16.6,19,22.5,28.2
F,120,12.4,13.5,14.8,16.6,19,22.6,28.4
F,121,12.4,13.5,14.9,16.7,19.1,22.7,28.5
F,122,12.4,13.5,14.9,16.7,19.2,22.8,28.7
F,123,12.5,13.6,15,16.8,19.2,22.8,28.8
F,124,12.5,13.6,15,16.8,19.3,22.9,29
F,125,12.5,13.6,15,16.9,19.4,23,29.1
F,126,12.5,13.7,15.1,16.9,19.4,23.1,29.3
F,127,12.6,13.7,15.1,17,19.5,23.2,29.4
F,128,12.6,13.7,15.2,17,19.6,23.3,29.6
F,129,12.6,13.8,15.2,17.1,19.6,23.4,29.7
F,130,12.7,13.8,15.3,17.1,19.7,23.5,29.9
F,131,12.7,13.8,15.3,17.2,19.8,23.6,30
F,132,12.7,13.9,15.3,17.2,19.9,23.7,30.2
F,133,12.8,13.9,15.4,17.3,19.9,23.8,30.3
F,134,12.8,14,15.4,17.4,20,23.9,30.5
F,135,12.8,14,15.5,17.4,20.1,24,30.6
F,136,12.9,14,15.5,17.5,20.2,24.1,30.8
F,137,12.9,14.1,15.6,17.5,20.2,24.2,30.9
F,138,12.9,14.1,15.6,17.6,20.3,24.3,31.1
F,139,13,14.2,15.7,17.7,20.4,24.4,31.2
F,140,13,14.2,15.7,17.7,20.5,24.5,31.4
F,141,13,14.3,15.8,17.8,20.6,24.7,31.5
F,142,13.1,14.3,15.8,17.9,20.6,24.8,31.6
F,143,13.1,14.3,15.9,17.9,20.7,24.9,31.8
F,144,13.2,14.4,16,18,20.8,25,31.9
F,145,13.2,14.4,16,18.1,20.9,25.1,32
F,146,13.2,14.5,16.1,18.1,21,25.2,32.2
F,147,13.3,14.5,16.1,18.2,21.1,25.3,32.3
F,148,13.3,14.6,16.2,18.3,21.1,25.4,32.4
F,149,13.3,14.6,16.2,18.3,21.2,25.5,32.6
F,150,13.4,14.7,16.3,18.4,21.3,25.6,32.7
F,151,13.4,14.7,16.3,18.5,21.4,25.7,32.8
F,152,13.5,14.8,16.4,18.5,21.5,25.8,33
F,153,13.5,14.8,16.4,18.6,21.6,25.9,33.1
F,154,13.5,14.8,16.5,18.7,21.6,26,33.2
F,155,13.6,14.9,16.6,18.7,21.7,26.1,33.3
F,156,13.6,14.9,16.6,18.8,21.8,26.2,33.4
F,157,13.6,15,16.7,18.9,21.9,26.3,33.6
F,158,13.7,15,16.7,18.9,22,26.4,33.7
F,159,13.7,15.1,16.8,19,22,26.5,33.8
F,160,13.8,15.1,16.8,19.1,22.1,26.6,33.9
F,161,13.8,15.2,16.9,19.1,22.2,26.7,34
F,162,13.8,15.2,16.9,19.2,22.3,26.8,34.1
F,163,13.9,15.2,17,19.3,22.4,26.9,34.2
