Genero,Meses,M3SD,M2SD,M1SD,Median,1DS,2SD,3SD
F,131,124.6,131.2,137.8,144.5,151.1,157.7,164.3
F,132,125.1,131.7,138.3,145,151.6,158.3,164.9
F,133,125.5,132.2,138.9,145.5,152.2,158.9,165.5
F,134,126,132.7,139.4,146.1,152.7,159.4,166.1
F,135,126.5,133.2,139.9,146.6,153.3,160,166.7
F,136,127,133.7,140.4,147.1,153.8,160.6,167.3
F,137,127.4,134.2,140.9,147.7,154.4,161.1,167.9
F,138,127.9,134.7,141.4,148.2,154.9,161.7,168.4
F,139,128.4,135.2,141.9,148.7,155.5,162.2,169
F,140,128.9,135.7,142.4,149.2,156,162.8,169.6
F,141,129.3,136.1,142.9,149.7,156.5,163.3,170.1
F,142,129.8,136.6,143.4,150.2,157.1,163.9,170.7
F,143,130.3,137.1,143.9,150.7,157.6,164.4,171.2
F,144,130.7,137.6,144.4,151.2,158.1,164.9,171.8
F,145,131.2,138,144.9,151.7,158.6,165.4,172.3
F,146,131.6,138.5,145.3,152.2,159.1,165.9,172.8
F,147,132,138.9,145.8,152.7,159.5,166.4,173.3
F,148,132.5,139.3,146.2,153.1,160,166.9,173.8
F,149,132.9,139.8,146.7,153.6,160.5,167.4,174.3
F,150,133.3,140.2,147.1,154,160.9,167.8,174.7
F,151,133.7,140.6,147.5,154.4,161.3,168.3,175.2
F,152,134.1,141,147.9,154.8,161.8,168.7,175.6
F,153,134.5,141.4,148.3,155.2,162.2,169.1,176
F,154,134.8,141.8,148.7,155.6,162.6,169.5,176.4
F,155,135.2,142.1,149.1,156,162.9,169.9,176.8
F,156,135.6,142.5,149.4,156.4,163.3,170.3,177.2
F,157,135.9,142.8,149.8,156.7,163.7,170.6,177.6
F,158,136.2,143.2,150.1,157.1,164,171,177.9
F,159,136.5,143.5,150.4,157.4,164.3,171.3,178.2
F,160,136.9,143.8,150.8,157.7,164.7,171.6,178.6
F,161,137.2,144.1,151.1,158,165,171.9,178.9
F,162,137.4,144.4,151.3,158.3,165.3,172.2,179.2
F,163,137.7,144.7,151.6,158.6,165.5,172.5,179.4
F,164,138,144.9,151.9,158.8,165.8,172.7,179.7
F,165,138.2,145.2,152.1,159.1,166,173,179.9
F,166,138.5,145.4,152.4,159.3,166.3,173.2,180.2
F,167,138.7,145.7,152.6,159.6,166.5,173.5,180.4
F,168,139,145.9,152.8,159.8,166.7,173.7,180.6
F,169,139.2,146.1,153.1,160,166.9,173.9,180.8
F,170,139.4,146.3,153.3,160.2,167.1,174.1,181
F,171,139.6,146.5,153.5,160.4,167.3,174.2,181.2
F,172,139.8,146.7,153.6,160.6,167.5,174.4,181.3
F,173,140,146.9,153.8,160.7,167.7,174.6,181.5
F,174,140.1,147.1,154,160.9,167.8,174.7,181.6
F,175,140.3,147.2,154.1,161,168,174.9,181.8
F,176,140.5,147.4,154.3,161.2,168.1,175,181.9
F,177,140.6,147.5,154.4,161.3,168.2,175.1,182
F,178,140.8,147.7,154.5,161.4,168.3,175.2,182.1
F,179,140.9,147.8,154.7,161.6,168.4,175.3,182.2
F,180,141,147.9,154.8,161.7,168.5,175.4,182.3
F,181,141.2,148,154.9,161.8,168.6,175.5,182.4
F,182,141.3,148.1,155,161.9,168.7,175.6,182.5
F,183,141.4,148.2,155.1,162,168.8,175.7,182.5
F,184,141.5,148.3,155.2,162,168.9,175.7,182.6
F,185,141.6,148.4,155.3,162.1,169,175.8,182.6
F,186,141.7,148.5,155.4,162.2,169,175.9,182.7
F,187,141.8,148.6,155.4,162.3,169.1,175.9,182.7
